ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,3,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,28.956675338873342,0.029484015608003317
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,4,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,32.7145426315801,0.030500896360327042
22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,5,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,35.83659911484113,0.03253147339768247
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,4.747622575977821,0.09850052451866464
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,2,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,20.2016145769,0.03893461427546292
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,3,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,21.700844371384814,0.03331837675699304
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,4,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,26.60482723680729,0.0365542315061266
23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,5,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,30.47573801050978,0.033187535329888766
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,77.66823460109133,0.014155389422620583
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,77.6719679125025,0.014239735990820575
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,79.88621795357697,0.015084481021969973
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,80.18085623830295,0.018583685996047546
24,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,81.56596499705272,0.018660602086938666
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,108.92070665645663,0.0006521954218609961
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,108.92457319516905,0.0007152314243728448
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,110.63552359800758,0.0029157672263973133
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,110.90266044980685,0.0033933648185949304
25,Openness high; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,111.94349453698172,0.003927418273164477
