layer,target_module,mean_frobenius,median_frobenius,mean_spectral_to_frobenius,median_spectral_to_frobenius
12,v_proj,1.049557444485632,1.0683639313263273,0.5509682643027144,0.5377155832059006
13,down_proj,3.932576705584107,3.9364486271455132,0.7408510238042321,0.7435512448493202
13,gate_proj,5.882822030764059,5.880176225450956,0.6348622182235735,0.6277608481626386
13,k_proj,1.4078352245007453,1.2996299659574357,0.534059629093516,0.5376552479345588
13,o_proj,2.1231206934101596,2.1353967004850753,0.49068685101495885,0.47766893577252595
13,q_proj,2.482724612402845,2.437786885545348,0.4840705769701387,0.469287017900702
13,up_proj,4.7527982602915815,4.699869591889816,0.5069034759354314,0.5056215424105092
13,v_proj,1.042854779124579,1.0374745680966724,0.5216702256808672,0.5112907820234276
14,down_proj,3.9260285546380675,3.9040418565727038,0.6972110552029139,0.7134832350266969
14,gate_proj,5.841955675187186,5.630578817984125,0.5888515258100606,0.5879881431653156
14,k_proj,1.340037905935145,1.2630140296985362,0.5751572477166875,0.560265003396943
14,o_proj,2.1524479121593467,2.1901208003280628,0.47243374527967164,0.4623912907011614
14,q_proj,2.356233987088002,2.2657190228889923,0.46933148672456093,0.44975500075472413
14,up_proj,4.742669671533539,4.718403000011814,0.5058084421080469,0.5036669114256711
14,v_proj,1.0854904489491537,1.1043880977496379,0.5353098212331447,0.5313235547832023
15,down_proj,3.9731133730327897,4.004859962814662,0.7254522928744517,0.7306824818734752
15,gate_proj,6.302336259136065,6.160920725111043,0.7142798556383205,0.7289366200657528
15,k_proj,1.3140057826323,1.3018921167738498,0.5294904911962068,0.5153689949272137
15,o_proj,2.310980812306728,2.3865309371482737,0.49348065450396356,0.479025643697958
15,q_proj,2.563467219856741,2.5319936689938785,0.5068796316710216,0.49485622880641655
15,up_proj,4.805528148714929,4.739418586553933,0.5189377554056388,0.5070219847096284
15,v_proj,1.0841916497249464,1.0940749840673956,0.5517463248378761,0.5611142243692623
16,down_proj,4.152362840823509,4.210696292185483,0.7334689427938409,0.7395321239971677
16,gate_proj,6.424759985239268,6.321499206074637,0.7461290139793915,0.7686551369476249
16,k_proj,1.2866976644942996,1.2454451936897377,0.5383448574150876,0.5323942771509125
16,o_proj,2.3512237985029056,2.444189562468802,0.5161993517963033,0.5210864582615516
16,q_proj,2.355089101709375,2.2415409825544534,0.4538361868167735,0.44313738929058255
16,up_proj,4.9354990823990885,4.886018895064545,0.5463404809672753,0.555547221084703
16,v_proj,1.082169322237812,1.0886721823927896,0.5347438767542654,0.5327173494589208
17,down_proj,4.000137742375606,3.9442799814842044,0.7010162639481616,0.7040858365718902
17,gate_proj,6.391690991732553,6.144509873963196,0.7391551987577861,0.7444334310673982
17,k_proj,1.422926695423479,1.371404003231504,0.5921544622417757,0.5844649792233764
17,o_proj,2.632116122032369,2.7127658907635666,0.5471311023862702,0.5488893840380522
17,q_proj,2.5812588571599,2.45200667904379,0.5274652863140993,0.5318549603155136
17,up_proj,4.968659966077045,4.926182257843344,0.5098970468644498,0.5013048737929722
17,v_proj,1.2396180621429087,1.2457794949963659,0.6150627839023329,0.6191417790774163
18,down_proj,4.124644408183139,4.086918262895178,0.7007851132455095,0.7168904190320702
18,gate_proj,6.295539065372862,6.2027505755487224,0.6808598430049412,0.6804084891594522
18,k_proj,1.3337295139627532,1.274155685242781,0.5498931335026587,0.5427343574268564
18,o_proj,2.5524800696544734,2.5102427546499912,0.4910993637276542,0.494702735326201
18,q_proj,2.516937511735955,2.4652532408861862,0.4637781093537814,0.44940231099522354
18,up_proj,5.026974825098263,4.991048460617297,0.5027568948372342,0.4947774001785155
18,v_proj,1.1355320426691398,1.1457950692591308,0.5240698586516704,0.5146614706042817
19,down_proj,4.15110934170193,4.191375767981448,0.6737770914874036,0.695091199623681
19,gate_proj,6.330456058162782,6.145349244954023,0.701011438576298,0.7086579010352658
19,k_proj,1.4144465441292502,1.3155197514263564,0.5712635928913706,0.5724234330064859
19,o_proj,2.63007673965577,2.578410880726646,0.4903397188180329,0.47974076901779017
19,q_proj,2.6799872149107653,2.6077054846337457,0.5201246599421651,0.5249312246645492
19,up_proj,5.07216658875509,4.999961232936698,0.5020244057078166,0.47731808262609265
19,v_proj,1.2621507261107212,1.2893510049163932,0.6665256339801076,0.669658305624315
20,down_proj,4.224792127175251,4.1600587765087305,0.682885012254518,0.6986243592433479
20,gate_proj,6.279537487291115,6.073440492479026,0.6584891941352113,0.6527380262348741
20,k_proj,1.4918891287814913,1.4470774747362198,0.6030776568734542,0.5874853790478358
20,o_proj,2.7670928639483887,2.6530037336371004,0.528308483903973,0.520333142292215
20,q_proj,2.843957927562763,2.8156496445377863,0.6245594878349167,0.6073487156842411
20,up_proj,5.174685661876642,5.17682744497913,0.4891584888265159,0.4756215981169585
20,v_proj,1.2616371589966404,1.229708091241133,0.6393798967064237,0.6330494743338712
21,down_proj,4.250454952426456,4.272601903676104,0.719804319862034,0.732433308293734
21,gate_proj,6.355812407576557,6.190367218568526,0.6852758497276403,0.6811968888735984
21,k_proj,1.389341832644715,1.3333573208854044,0.5699246521302332,0.5734718941955774
21,o_proj,2.6462718002441834,2.689118955749395,0.526257001825723,0.5151555840000193
21,q_proj,2.5147142328856202,2.46608194175418,0.5115749033846531,0.4916778351941369
21,up_proj,5.1846249338880925,5.159317616057756,0.5674161183403558,0.5635522526808607
21,v_proj,1.2178963523347184,1.2145702724717093,0.6017296455034221,0.5999234201926739
22,down_proj,4.345331663974917,4.292886014706339,0.704364237007508,0.7066031910624486
22,gate_proj,6.599261910707284,6.60281583350088,0.7310920322312334,0.7392675825885997
22,k_proj,1.4264235082743257,1.348035410364433,0.6210725730422082,0.6091518267705911
22,o_proj,2.8138415597894273,2.787119678283183,0.5628071532280114,0.5663404418499423
22,q_proj,2.649948133850729,2.5814606698916185,0.5523286650135855,0.5335908415068414
22,up_proj,5.3400532167740655,5.322265026752019,0.5306374391335187,0.5203898418693779
22,v_proj,1.3772649065717957,1.343557940034981,0.7768285048111143,0.7814022730178289
23,down_proj,4.630184320098497,4.636487463862298,0.7605048573368774,0.7898581456468601
23,gate_proj,6.620192638163938,6.614526821976119,0.7153133200270185,0.7204698284935036
23,k_proj,1.348982966354368,1.280922365078307,0.5527498856586456,0.5453004877271956
23,o_proj,2.81866689876567,2.7472745550493616,0.5802573631621613,0.5769494037213885
23,q_proj,2.562272126177236,2.4621011835536804,0.6087348282695297,0.608589739730133
23,up_proj,5.464822755602357,5.389270754874357,0.5902938940546745,0.5819700972701668
23,v_proj,1.3040288492499326,1.2925293147354713,0.6607090303057522,0.6589224389515502
24,down_proj,4.624787343937767,4.551772841318421,0.7319469066875659,0.7505602034607826
24,gate_proj,6.735696451367113,6.687512505847584,0.7445729173129193,0.7599598506620324
24,k_proj,1.4434733390004857,1.349673078408304,0.6322252170599546,0.6109773252766367
24,o_proj,3.183781248102265,3.105891273010976,0.6906058365624237,0.6901430434956818
24,q_proj,2.646323886695471,2.5440997337998565,0.5403027110424652,0.542440125625575
24,up_proj,5.6047376274744956,5.574464123425582,0.5581387280636896,0.5651048813980448
24,v_proj,1.5332715624320803,1.5054033944565086,0.8468749718807611,0.8605274917483583
25,down_proj,4.631154301681356,4.574632362549044,0.6757498813640761,0.6907750692461696
25,gate_proj,6.845345879680961,6.848915332416988,0.769321664153811,0.7827402590307863
25,k_proj,1.4515278401821843,1.3783560840182105,0.6616969700369763,0.6699353405586579
25,o_proj,2.8046224582888337,2.720330065089731,0.5304883590882703,0.5231112189990006
25,q_proj,2.4181496206045376,2.3481870892649885,0.4982991264879376,0.4793995347708736
25,up_proj,5.763031094870012,5.772503356778098,0.6273666522587307,0.6183487534970541
25,v_proj,1.445325107106553,1.4481657623735886,0.7540145311743287,0.7639125491299553
26,down_proj,4.6584081913465925,4.467243219751394,0.6850654751798003,0.6671261626128316
26,gate_proj,7.148287335890575,7.243106698442575,0.8100281319999498,0.8407097054295414
26,k_proj,1.4302961571495036,1.303891763518922,0.5946661122034907,0.5569270955913248
26,o_proj,2.9210635831188396,2.8262155511741334,0.5686735654781615,0.5668996832512166
26,q_proj,2.6841475287070877,2.61666195535976,0.547865800378729,0.5232120713572861
26,up_proj,5.816459272130986,5.719263959354143,0.6398227026333037,0.6466739593005202
26,v_proj,1.4633551484544562,1.4115843935806547,0.7550654395213581,0.7625338120078387
27,down_proj,4.562096922915003,4.484455229145352,0.7561525218060874,0.7780541411687427
27,gate_proj,6.743952100395195,6.477653654099532,0.700130992333212,0.7128907423142083
27,k_proj,1.464280397642097,1.4160711820731469,0.6788458118699452,0.6881181674588556
27,o_proj,3.0241117710769765,2.9666181923174815,0.6097118227112284,0.6100180265129571
27,q_proj,2.7256150215233563,2.623365282808077,0.6122536421350974,0.5912895358814121
27,up_proj,5.850830854263379,5.800173290728356,0.6224926490299901,0.6220745483271313
