layer,target_module,matrix_shape,aggregate_update_frobenius_norm,mean_profile_update_frobenius_norm,profile_kernel_effective_rank,kernel_top_eigenvalue_fraction
13,k_proj,1024x4096,9.250512425463397,1.4078352228398323,18.648226076500023,0.16600395836573872
13,o_proj,4096x4096,13.202738998910233,2.123120684622355,22.708617854558785,0.11105122156236068
13,q_proj,4096x4096,15.973135434186208,2.4827245917773606,20.209645369689046,0.14078260139145057
13,up_proj,14336x4096,30.30988764173498,4.752798216580407,20.783922749184974,0.1331231828601932
13,v_proj,1024x4096,6.556309714033453,1.042854777459434,21.819226359542988,0.12072892899310408
14,down_proj,4096x14336,25.27589592193853,3.92602857872238,20.427804031211725,0.13087441403727887
14,gate_proj,14336x4096,37.686369099065836,5.841955616228402,20.009508620832904,0.14486366336288967
14,k_proj,1024x4096,8.720397229505828,1.3400378962618065,19.326675838583512,0.15328024986953123
14,o_proj,4096x4096,13.354920050620457,2.152447896694116,22.93327543154239,0.1083117425267443
14,q_proj,4096x4096,15.133367479040924,2.3562340013256935,20.204083919908207,0.1449932418977344
14,up_proj,14336x4096,30.192766788450864,4.7426696378734485,20.92849075082015,0.13044576651453443
14,v_proj,1024x4096,6.819440763774864,1.0854904409078665,21.89865350913144,0.11880463057075748
15,down_proj,4096x14336,25.37957857510239,3.9731133881249434,20.944659957748687,0.1274502898401258
15,gate_proj,14336x4096,40.21406815435415,6.302336239843628,20.82735185290619,0.13460121893404578
15,k_proj,1024x4096,8.534448407553503,1.314005779922069,19.46288297631039,0.15006839989970322
15,o_proj,4096x4096,14.395356818946315,2.3109808080569616,22.66576924523934,0.11230659579224173
15,q_proj,4096x4096,16.487191940023333,2.5634672055905714,20.145245912339387,0.14580872953719967
15,up_proj,14336x4096,30.512297383444015,4.805528124257467,21.19374939365545,0.12496425985527249
15,v_proj,1024x4096,6.837364921652662,1.0841916435853243,21.481455378082536,0.12555666434120394
16,down_proj,4096x14336,26.469300732039926,4.152362811759722,21.136707517954346,0.12412142112695655
16,gate_proj,14336x4096,40.88664647897121,6.4247599489546765,21.049321861569616,0.12988988726962714
16,k_proj,1024x4096,8.37884812262631,1.2866976595848851,19.248323002279804,0.1523535781451698
16,o_proj,4096x4096,14.743092137075564,2.3512237990309757,22.063861449646865,0.12094217940532932
16,q_proj,4096x4096,15.177678216229706,2.355089091683541,19.931481191140897,0.14397472244118215
16,up_proj,14336x4096,31.267835144920532,4.935499066155542,21.353339109166704,0.12604352490632661
16,v_proj,1024x4096,6.819201535289785,1.082169323225624,21.460456438837326,0.1264343586727231
17,down_proj,4096x14336,25.640652514302882,4.000137703295264,20.717946620685915,0.1271714135362707
17,gate_proj,14336x4096,40.69065838632165,6.391690947363053,20.99233221246876,0.13226640239798418
17,k_proj,1024x4096,9.25559335334584,1.422926684904843,19.454162368859194,0.1462680635804305
17,o_proj,4096x4096,16.620269542479704,2.632116132588659,21.70667014718953,0.12055023743353575
17,q_proj,4096x4096,16.701260526549184,2.5812588551608364,19.65967135564576,0.1552618666880626
17,up_proj,14336x4096,31.502376902992104,4.968659949730905,21.309219650344787,0.12804460477310797
17,v_proj,1024x4096,7.779342603944137,1.2396180558731884,21.953255151040338,0.11466502401668648
18,down_proj,4096x14336,26.565513804926265,4.124644364724668,20.431681986019466,0.12970327143424007
18,gate_proj,14336x4096,40.133605313262755,6.295539029883605,20.905035475289544,0.13388667172147575
18,k_proj,1024x4096,8.66414025302341,1.3337295189157068,19.493498996947686,0.14930781985175337
18,o_proj,4096x4096,16.27951907467932,2.552480068015333,20.832813351280212,0.13068657894488106
18,q_proj,4096x4096,16.295517955696997,2.516937514230043,19.660246943503086,0.14618091194127628
18,up_proj,14336x4096,31.899894049055213,5.026974787276424,21.24422982810561,0.12655686563637666
18,v_proj,1024x4096,7.183673226114961,1.1355320409980472,21.373274625111097,0.12386633660481865
19,down_proj,4096x14336,26.939552592293925,4.151109338421227,19.95283658318527,0.13177269979274522
19,gate_proj,14336x4096,40.29711447914912,6.330455988865808,21.02094656169131,0.12961345762253132
19,k_proj,1024x4096,9.255627255528674,1.4144465352598103,18.817019850242442,0.16044364627609728
19,o_proj,4096x4096,16.996041728750868,2.6300767229626425,19.875246070124625,0.14079927093356742
19,q_proj,4096x4096,17.33259788566615,2.679987231392448,19.748967147241228,0.15155350267703158
19,up_proj,14336x4096,32.315599138419046,5.072166567175724,20.930873519801604,0.12995196882179041
19,v_proj,1024x4096,8.022973133239802,1.2621507202456335,21.01511739700873,0.12746105141887182
20,down_proj,4096x14336,27.524747491481385,4.224792104117753,19.642154466284108,0.13678440839828945
20,gate_proj,14336x4096,40.2033913531637,6.279537492435848,20.6674651466084,0.1311879151162102
20,k_proj,1024x4096,9.703631864420618,1.4918891297863837,19.390911720747336,0.15155807330499377
20,o_proj,4096x4096,17.958528261683036,2.7670928479382453,19.48122403496823,0.14675709128113404
20,q_proj,4096x4096,18.400766555708355,2.8439579176441967,19.698096553837587,0.14481903334686252
20,up_proj,14336x4096,32.93253847430705,5.174685590525613,20.99808930228262,0.12923187291481303
20,v_proj,1024x4096,8.003126670433378,1.261637147521806,21.054518498342265,0.12724836110952073
21,down_proj,4096x14336,27.56802631505349,4.250454947561575,19.90955865795815,0.13363767456743855
21,gate_proj,14336x4096,40.55866747484521,6.3558124062727845,20.83825436385951,0.12952607444739458
