ptype_a,ptype_b,distance
6,21,3.7817174588768148
6,22,3.9211593052683607
6,23,4.961136512576277
6,24,3.1513108476020513
6,25,3.4154662245580574
6,26,3.4751145376448918
6,27,3.139888833790369
6,28,2.981726304835053
6,29,3.1126183759696606
6,30,3.2065790822339335
6,31,3.389535075548064
7,8,5.133839780069337
7,9,5.3691625188098655
7,10,5.521735379549685
7,11,4.956632056682225
7,12,5.1763554144446395
7,13,4.639728656129448
7,14,4.900771094687049
7,15,5.310295866854787
7,16,5.118613346213383
7,17,5.27438981651905
7,18,4.653247829944151
7,19,5.608831158779442
7,20,4.927248803977387
7,21,4.90442239328587
7,22,4.879552344513234
7,23,3.432196223899203
7,24,5.176478926936008
7,25,5.234271933636497
7,26,5.157824288339751
7,27,4.937484560356156
7,28,5.007129913760775
7,29,5.042929629162408
7,30,5.256587636293582
7,31,5.287492120612635
8,9,3.1074470548894446
8,10,3.366687493364131
8,11,3.1301913649355946
8,12,3.0224942380602453
8,13,3.6198874655943993
8,14,3.0209041810249464
8,15,3.9472835338826204
8,16,3.518845474442481
8,17,3.238016561164054
8,18,3.8002678188063244
8,19,4.3782257967205265
8,20,3.4084374534610444
8,21,4.015802196742778
8,22,4.03586912969433
8,23,5.112817377512302
8,24,3.1109767631044445
8,25,3.286247324347529
8,26,3.521089855708176
8,27,3.2090434004664155
8,28,3.029146354297195
8,29,3.0615087100642007
8,30,3.2720278405439687
8,31,3.401645439188419
9,10,3.6128605628989523
9,11,3.143921533484543
9,12,3.2951245125160895
9,13,3.71336154061796
9,14,3.1771455489853886
9,15,4.2791148980459095
9,16,3.7481115750491085
9,17,3.5943874340069364
9,18,4.055103256759516
9,19,4.724030556877731
9,20,3.5529090559911842
9,21,4.3613293732753
9,22,4.387000046934273
9,23,5.3646815813365185
9,24,3.347347145278171
9,25,3.179139960586889
9,26,3.690152461848289
9,27,3.4201683171678643
9,28,3.460532226362042
9,29,3.2858613122263147
9,30,3.4429933892926865
9,31,3.5238840430718543
10,11,3.6071027420335238
10,12,3.3350063660807963
10,13,4.073488565948227
10,14,3.545212471984557
10,15,4.14525907449718
10,16,3.8979001087950693
10,17,3.7130595935859603
10,18,4.316790616185565
10,19,4.590376791897582
10,20,3.8732925445998756
10,21,4.191311217711129
10,22,4.420348565542773
10,23,5.405453063167582
10,24,3.4728743543305103
10,25,3.749578350322553
10,26,3.6111466438431514
10,27,3.578821991963494
10,28,3.502689634473526
10,29,3.449129134724091
10,30,3.5456510137097506
10,31,3.652600744379539
11,12,3.183041836322625
11,13,3.5857366301441265
11,14,2.9622887986940896
11,15,4.060407310056677
11,16,3.3970229692302447
11,17,3.45962388910932
11,18,3.5907670841349137
11,19,4.417608070447321
11,20,3.3094506151145917
11,21,3.9491070465304356
11,22,4.023540741373355
11,23,5.090735341681654
11,24,3.3123649844696073
11,25,3.164019264065169
11,26,3.4669301041893354
11,27,3.260681332311053
11,28,3.2787319880842696
11,29,3.046253409840243
11,30,3.2099234053980283
11,31,3.4818011492528327
12,13,3.4490523106215973
12,14,2.979669894044557
12,15,3.8708140278462495
12,16,3.336852222557944
12,17,3.2792790257032336
12,18,3.7817888480138895
12,19,4.220316434329373
12,20,3.283615565893704
12,21,3.980892121471026
12,22,4.058814567102982
12,23,5.175444800561059
12,24,3.166103042082844
12,25,3.295130780383083
12,26,3.5055917756755335
12,27,3.2518736077701753
12,28,3.027242392134347
12,29,3.131226734250139
12,30,3.2221178898963116
12,31,3.329461830400129
13,14,3.3523013465085385
13,15,4.311979418508582
13,16,3.6215738349904534
13,17,3.885490401539038
13,18,3.6534775588543957
13,19,4.398387398501122
13,20,3.5492427051050783
13,21,4.200479784674822
13,22,4.13701521592872
13,23,4.615542172988344
13,24,3.6194452119430625
13,25,3.439836887549932
13,26,3.8331380755399906
