ptype,layer,centroid_norm
16,23,8.204522783333333
16,24,9.0566192
16,25,9.819032833333333
16,26,10.906252916666666
16,27,11.971846333333334
16,28,12.929442333333334
16,29,15.049955500000001
16,30,19.454966333333335
16,31,37.681807166666665
17,0,0.1288075775
17,1,1.0500035666666667
17,2,1.15684901
17,3,1.3556422783333335
17,4,1.5512528583333334
17,5,1.6933011666666669
17,6,1.8606660000000002
17,7,2.0854237
17,8,2.279441933333333
17,9,2.4734859
17,10,2.5641880333333336
17,11,2.632351433333333
17,12,2.9141438666666666
17,13,3.1580434
17,14,3.3099403666666665
17,15,3.5611044166666663
17,16,4.0784227
17,17,4.6884803
17,18,5.164628466666667
17,19,5.504237516666667
17,20,5.874628183333333
17,21,6.856797383333333
17,22,7.50938005
17,23,8.288037933333333
17,24,8.965897983333333
17,25,9.804137916666667
17,26,10.718276583333335
17,27,11.708076166666666
17,28,12.742255166666666
17,29,15.033450833333333
17,30,19.3449825
17,31,38.77107633333333
18,0,0.08518271683333334
18,1,0.7093408683333333
18,2,0.8018346116666667
18,3,0.9715802133333332
18,4,1.13420076
18,5,1.2893324400000001
18,6,1.431868266666667
18,7,1.6624058833333333
18,8,1.9094547333333332
18,9,2.10806485
18,10,2.2510125333333337
18,11,2.422060333333333
18,12,2.6750785666666665
18,13,2.8389669166666667
18,14,2.9805713666666667
18,15,3.1833237000000003
18,16,3.8001308999999996
18,17,4.390681716666666
18,18,4.91139185
18,19,5.234371683333333
18,20,5.5844786
18,21,6.5394882999999995
18,22,7.1237909833333335
18,23,7.975915716666667
18,24,8.713446916666667
18,25,9.486184999999999
18,26,10.496603499999999
18,27,11.532584166666666
18,28,12.316400666666667
18,29,14.275367916666667
18,30,18.948590749999997
18,31,35.986685333333334
19,0,0.08221827133333333
19,1,1.0589997949999999
19,2,1.15750626
19,3,1.33234194
19,4,1.502179075
19,5,1.66694814
19,6,1.8355903
19,7,2.0552997166666667
19,8,2.2996822666666668
19,9,2.4692524166666665
19,10,2.5857306166666665
19,11,2.677716033333333
19,12,2.9120713166666667
19,13,3.139579466666666
19,14,3.366082666666667
19,15,3.551890333333333
19,16,4.1121808
19,17,4.733626883333334
19,18,5.235264683333333
19,19,5.614831333333334
19,20,6.129352983333334
19,21,7.243177033333333
19,22,8.087339883333334
19,23,8.838743
19,24,9.51272765
19,25,10.4200545
19,26,11.387785166666667
19,27,12.5595845
19,28,13.686234333333331
19,29,15.619872666666666
19,30,20.26987816666667
19,31,37.50696366666667
20,0,0.11163773983333335
20,1,0.8779855833333334
20,2,0.9901164783333334
20,3,1.1990767533333333
20,4,1.404219705
20,5,1.5765071716666668
20,6,1.72124595
20,7,2.0034592333333334
20,8,2.2355126333333333
20,9,2.35609365
20,10,2.4595973
20,11,2.51663645
20,12,2.7692348166666663
20,13,2.984920583333333
20,14,3.1828114833333334
20,15,3.365823983333333
20,16,3.972992316666667
20,17,4.518587616666667
20,18,5.012314633333333
20,19,5.3352256166666665
20,20,5.688113883333333
20,21,6.67234435
20,22,7.320468133333333
20,23,8.142894266666667
20,24,8.952891383333332
20,25,9.7613755
20,26,10.710900166666667
20,27,11.693125333333333
20,28,12.524537666666667
20,29,14.461586666666667
20,30,18.738071333333334
20,31,35.917707
21,0,0.11002176333333334
21,1,1.208758685
21,2,1.3395461333333334
21,3,1.5268149
21,4,1.6980277883333332
21,5,1.84089235
21,6,2.000462283333333
21,7,2.229221916666667
21,8,2.409876016666667
21,9,2.5948618666666667
21,10,2.679798133333333
21,11,2.7363144333333334
21,12,2.952853183333333
21,13,3.2572121166666665
21,14,3.3967815666666668
21,15,3.5721639
21,16,4.0583731
21,17,4.660153
21,18,5.138986633333333
21,19,5.44407455
21,20,5.809764816666667
21,21,6.835717866666666
21,22,7.518591666666667
21,23,8.3955536
21,24,9.13759775
21,25,9.931272166666666
21,26,10.984026666666667
21,27,12.1644265
21,28,13.0477415
21,29,15.135078416666667
21,30,19.35500083333333
21,31,35.86821533333333
22,0,0.11140415866666666
22,1,1.0188298233333335
22,2,1.1039783283333333
22,3,1.2599969566666667
22,4,1.4130901433333332
22,5,1.5605491833333334
22,6,1.724923995
22,7,2.000595683333333
22,8,2.2198275333333335
22,9,2.3523674666666667
22,10,2.4287516
22,11,2.5947028333333333
22,12,2.7971055333333332
22,13,2.9079481166666667
22,14,3.019512983333333
22,15,3.2034644833333332
22,16,3.7133388833333334
22,17,4.193255783333334
22,18,4.5996436
22,19,4.894604133333334
22,20,5.2097350166666665
22,21,6.1156444500000005
22,22,6.695480183333333
