representation,prompt_group,pooling_rule,layer,target,procrustes_disparity,mean_canonical_correlation,leave_profile_out_multivariate_r2,leave_profile_out_O_r2,leave_profile_out_C_r2,leave_profile_out_E_r2,leave_profile_out_A_r2,leave_profile_out_N_r2
activation,ipip_stems,mean_tokens,8,unique_tuple_weighted_continuous,1.3028530276601,0.3997038799682765,-0.2691379404220094,-0.43568623010030727,-0.1782105885624632,-0.004482895717077273,-0.013545357177031425,-0.7137646305531677
activation,ipip_stems,mean_tokens,9,row_weighted_continuous,1.311894745225925,0.39037462713762483,-0.2694739293103549,-0.4312681263529732,-0.09210450540561421,-0.13923548423065202,-0.1707764807595753,-0.5139850498029599
activation,ipip_stems,mean_tokens,9,unique_tuple_weighted_continuous,1.2938140798822948,0.39731428506605465,-0.23598069459113366,-0.4993745400202376,-0.0687811564159182,-0.08021761050251541,-0.09691747905962744,-0.43461268695736965
activation,ipip_stems,mean_tokens,10,row_weighted_continuous,1.2988365584764743,0.40171641947393216,-0.2976222308744825,-0.3912843802318282,-0.3054698581641708,-0.08508078053041035,-0.16800969704826407,-0.5382664383977389
activation,ipip_stems,mean_tokens,10,unique_tuple_weighted_continuous,1.280689289004786,0.4076580493374508,-0.2438877465254709,-0.3663689082370425,-0.2802219862130739,0.015817132718624727,-0.09747937578417831,-0.4911855951116846
activation,ipip_stems,mean_tokens,11,row_weighted_continuous,1.282066906479131,0.4102464179310181,-0.25431321272626983,-0.4402633642331175,-0.19622936374942967,0.012631986881099566,-0.11927740848944035,-0.5284279140404613
activation,ipip_stems,mean_tokens,11,unique_tuple_weighted_continuous,1.266459270359284,0.41386458889404726,-0.2279704093441798,-0.3648842320064536,-0.11184868018886984,-0.10909249661295184,-0.04476153671657079,-0.509265101196053
activation,ipip_stems,mean_tokens,12,row_weighted_continuous,1.2819046291335998,0.40746226616702835,-0.2317692243697791,-0.399914723242788,-0.2070028768994776,0.018200067834373668,-0.13722366372352401,-0.4329049258174795
activation,ipip_stems,mean_tokens,12,unique_tuple_weighted_continuous,1.267432473992728,0.4117333894181365,-0.20083659379364072,-0.36287434307695543,-0.12170468860414263,-0.05235620058166779,-0.0465366786002368,-0.42071105810520093
activation,ipip_stems,mean_tokens,13,row_weighted_continuous,1.2719119028577217,0.4118039209429153,-0.21262646833660667,-0.381653003388305,-0.1863435473338737,0.0266115781222791,-0.10112275284677863,-0.42062461623635516
activation,ipip_stems,mean_tokens,13,unique_tuple_weighted_continuous,1.2550993743479602,0.4176830670279892,-0.18115699661181198,-0.341313042303828,-0.12161187583004396,-0.014446894943143995,-0.029930086877263173,-0.39848308310478076
activation,ipip_stems,mean_tokens,14,row_weighted_continuous,1.2842543626521614,0.39965211077034196,-0.2191532716020818,-0.3446552829821701,-0.15998797688440325,0.025216953888109406,-0.08494466376004928,-0.531395388271896
activation,ipip_stems,mean_tokens,14,unique_tuple_weighted_continuous,1.268102043276664,0.40631137611505846,-0.16895225145580256,-0.27760415685387585,-0.09813542708274703,0.07409841616926394,-0.03231656726409038,-0.5108035222475635
activation,ipip_stems,mean_tokens,15,row_weighted_continuous,1.258667159005154,0.41592582488885477,-0.22791449529569663,-0.4107393610659875,-0.2418339195390995,0.06148877981451695,-0.23749697379012313,-0.31099100189778994
activation,ipip_stems,mean_tokens,15,unique_tuple_weighted_continuous,1.2518450736361815,0.41812080542446417,-0.17288750467265165,-0.31678771201653433,-0.16431009496532156,0.06531913136756085,-0.13454710742800224,-0.314111740320961
activation,ipip_stems,mean_tokens,16,row_weighted_continuous,1.2622278487369563,0.4018917859446834,-0.2314468838599542,-0.286857638415281,-0.26756937130453307,0.03341916256523314,-0.1465892108492799,-0.4896373612959102
activation,ipip_stems,mean_tokens,16,unique_tuple_weighted_continuous,1.2421496597385624,0.4100338765274471,-0.19519719018810422,-0.23139650810029666,-0.21124995558087067,0.12464580491335941,-0.101500768158451,-0.5564845240142622
activation,ipip_stems,mean_tokens,17,row_weighted_continuous,1.2423761665326456,0.40862560479501636,-0.24336770957024348,-0.31856216987456953,-0.24868217323017427,0.0591300018269566,-0.2658187823013307,-0.44290542427209956
activation,ipip_stems,mean_tokens,17,unique_tuple_weighted_continuous,1.226640550333225,0.4136826124145947,-0.21122031709202105,-0.26382565393638346,-0.19360870818220755,0.1365796603087307,-0.20565311886690685,-0.5295937647833382
activation,ipip_stems,mean_tokens,18,row_weighted_continuous,1.231062238535034,0.4082946887942202,-0.27175335810775514,-0.430795485919268,-0.23641670521159597,0.057159254099411694,-0.32618478643988214,-0.4225290670674413
activation,ipip_stems,mean_tokens,18,unique_tuple_weighted_continuous,1.218238846071642,0.41190383785453877,-0.24068056885149897,-0.35886658180195785,-0.1916975028175849,0.1193873784438404,-0.2723955975409651,-0.49983054054082743
activation,ipip_stems,mean_tokens,19,row_weighted_continuous,1.245510076242388,0.39994991728309554,-0.29078897383730873,-0.6178567742936683,-0.13755821200849772,0.07872624011373885,-0.37638479445783735,-0.4008713285402794
activation,ipip_stems,mean_tokens,19,unique_tuple_weighted_continuous,1.228757564079853,0.4074380694951407,-0.22870097873119422,-0.5212193755417909,-0.09268397984045729,0.0862837524427893,-0.2738404344304004,-0.3420448562861118
activation,ipip_stems,mean_tokens,20,row_weighted_continuous,1.2419558167722786,0.3974807248174478,-0.2648215851252682,-0.5113795529945089,-0.06216760985422232,0.0411603674991835,-0.34902587074844416,-0.4426952595283493
activation,ipip_stems,mean_tokens,20,unique_tuple_weighted_continuous,1.2267958069050224,0.40292811424802133,-0.20498373321269064,-0.4424647203230392,-0.032944177767494365,0.09835685736209065,-0.26979971917884993,-0.37806690615616056
activation,ipip_stems,mean_tokens,21,row_weighted_continuous,1.2178467604265197,0.4085983634303765,-0.3088752902238114,-0.5262364965931328,-0.18041672600983327,0.08941755695859088,-0.5287779373754002,-0.3983628480992816
activation,ipip_stems,mean_tokens,21,unique_tuple_weighted_continuous,1.2126331625241429,0.40995374298347986,-0.25338931491037087,-0.470405557249979,-0.10872584044175082,0.05119756523076702,-0.4133222104077017,-0.32569053168318973
activation,ipip_stems,mean_tokens,22,row_weighted_continuous,1.206167237198418,0.41423867261368913,-0.3689037122465366,-0.455286677064908,-0.3826340808867865,0.056241405390691224,-0.7164011475966006,-0.34643806107507924
activation,ipip_stems,mean_tokens,22,unique_tuple_weighted_continuous,1.2017939331259462,0.4148981433051799,-0.31366533633323507,-0.4167053959759752,-0.29268915643238547,-0.0052852871477413466,-0.5731383343412786,-0.28050850776879477
activation,ipip_stems,mean_tokens,23,row_weighted_continuous,1.1694473747808949,0.4350558062200599,-0.4279338537170608,-0.40115416296968065,-0.5838356806222937,-0.010371598551257133,-1.0372376793255502,-0.10707014711652185
activation,ipip_stems,mean_tokens,23,unique_tuple_weighted_continuous,1.1762248793866752,0.43055335551325574,-0.37290451374781564,-0.4005497899511299,-0.5085715043046393,-0.04809782945887231,-0.8262607493083087,-0.08104269571612832
activation,ipip_stems,mean_tokens,24,row_weighted_continuous,1.1232930883971635,0.4631047507214383,-0.3408053139667894,-0.3334157566483753,-0.44348168004972766,0.1379381212644153,-0.9498723535416453,-0.11519490085861417
activation,ipip_stems,mean_tokens,24,unique_tuple_weighted_continuous,1.1326296117093169,0.4562521248115732,-0.3043597454162565,-0.31812944528425735,-0.399989527420876,0.11898781147805493,-0.7939999052407816,-0.12866766061342272
activation,ipip_stems,mean_tokens,25,row_weighted_continuous,1.1162577704985628,0.4646576597364714,-0.3276471114439893,-0.29565951861603046,-0.4477954906140773,0.15356979283427807,-0.8913679915016883,-0.1569823493224285
activation,ipip_stems,mean_tokens,25,unique_tuple_weighted_continuous,1.1290538214134873,0.4556370048477637,-0.3005456812024443,-0.26913930943927467,-0.4040258619602708,0.12748201045139995,-0.7612677691383063,-0.19577747592577
activation,ipip_stems,mean_tokens,26,row_weighted_continuous,1.1139577684026802,0.46415849869725934,-0.3240178301656001,-0.3094485778752425,-0.47376827072968886,-0.0011022820211203932,-0.6839391278457128,-0.15183089235623592
activation,ipip_stems,mean_tokens,26,unique_tuple_weighted_continuous,1.1268820369031376,0.4555794923031167,-0.2823555994024599,-0.3015109848669022,-0.4540993543914331,0.030631023925422607,-0.5383671391514477,-0.14843154252793944
activation,ipip_stems,mean_tokens,27,row_weighted_continuous,1.1229641148718634,0.4566188948161952,-0.34006824326587193,-0.31220610457555575,-0.4780988669484276,-0.05464104008373827,-0.6925948241879829,-0.1628003805336551
activation,ipip_stems,mean_tokens,27,unique_tuple_weighted_continuous,1.137094672959087,0.4479478534362535,-0.2889619069939688,-0.3217862242797236,-0.4713958377190737,0.015129386010592993,-0.5400886450117459,-0.12666821396989403
activation,ipip_stems,mean_tokens,28,row_weighted_continuous,1.1457127270820453,0.44348581180959956,-0.24817374347923896,-0.28235061494415525,-0.13991723995522598,-0.05354469749436275,-0.48048469371582914,-0.28457147128662164
activation,ipip_stems,mean_tokens,28,unique_tuple_weighted_continuous,1.1561431366182182,0.43595810016039377,-0.20782132034454914,-0.24492895301824258,-0.19152166650791802,0.05254386046793891,-0.37868686599963675,-0.2765129766648875
activation,ipip_stems,mean_tokens,29,row_weighted_continuous,1.1335279376707401,0.4456713040874877,-0.2719143989026189,-0.31466643046755904,-0.1275752211816248,-0.09611883599994497,-0.46871714462964365,-0.3524943622343222
