representation,prompt_group,pooling_rule,layer,factorial_model,exposure_covariates_added,profile_disjoint_folds,reconstruction_rmse,explained_variance
activation,ipip_stems,mean_tokens,6,main_plus_two_way,False,8,0.02642847779794326,-1.1892373494984558
activation,ipip_stems,mean_tokens,6,main_plus_two_way,True,8,0.027396157213495295,-1.352490340046768
activation,ipip_stems,mean_tokens,6,through_third_order,False,8,0.06378752991226791,-11.753227860843454
activation,ipip_stems,mean_tokens,6,through_third_order,True,8,0.1667728544961316,-86.17646887704062
activation,ipip_stems,mean_tokens,7,main_effects,False,8,0.021036626733719584,-0.2319031718296618
activation,ipip_stems,mean_tokens,7,main_effects,True,8,0.02065513933281672,-0.18762854973249965
activation,ipip_stems,mean_tokens,7,main_plus_two_way,False,8,0.027823865799135015,-1.155059727987235
activation,ipip_stems,mean_tokens,7,main_plus_two_way,True,8,0.02926382759860132,-1.3838922979710366
activation,ipip_stems,mean_tokens,7,through_third_order,False,8,0.06675024860325958,-11.40309717646561
activation,ipip_stems,mean_tokens,7,through_third_order,True,8,0.17465379107441825,-83.91421620881954
activation,ipip_stems,mean_tokens,8,main_effects,False,8,0.0221848176790402,-0.22577350713645972
activation,ipip_stems,mean_tokens,8,main_effects,True,8,0.021876083757356724,-0.19189406656903474
activation,ipip_stems,mean_tokens,8,main_plus_two_way,False,8,0.029320597958288046,-1.141135483304672
activation,ipip_stems,mean_tokens,8,main_plus_two_way,True,8,0.031420945274157036,-1.4588780801026182
activation,ipip_stems,mean_tokens,8,through_third_order,False,8,0.0694308899481885,-11.006155578629802
activation,ipip_stems,mean_tokens,8,through_third_order,True,8,0.1822070918500321,-81.68544268449052
activation,ipip_stems,mean_tokens,9,main_effects,False,8,0.023046496633109082,-0.22653123548184717
activation,ipip_stems,mean_tokens,9,main_effects,True,8,0.022869734308265985,-0.20778885645092227
activation,ipip_stems,mean_tokens,9,main_plus_two_way,False,8,0.030432096408661007,-1.1386145744654241
activation,ipip_stems,mean_tokens,9,main_plus_two_way,True,8,0.03298533656820461,-1.5125263179757704
activation,ipip_stems,mean_tokens,9,through_third_order,False,8,0.07190071284418473,-10.93809889394792
