representation,prompt_group,pooling_rule,layer,subset,profiles,pairs,target,pearson_r,spearman_rho
activation,ipip_stems,final_token,5,rows_ge_50000,22,231,unique_tuple_weighted_continuous,0.018861462981285576,0.015730446465079147
activation,ipip_stems,final_token,5,unique_tuples_ge_10,28,378,row_weighted_continuous,0.0575043403261846,0.07117589494079349
activation,ipip_stems,final_token,5,unique_tuples_ge_10,28,378,unique_tuple_weighted_continuous,0.05463366376442566,0.05396723193102049
activation,ipip_stems,final_token,5,unique_tuples_ge_25,24,276,row_weighted_continuous,0.02956878959515464,0.03431572038070233
activation,ipip_stems,final_token,5,unique_tuples_ge_25,24,276,unique_tuple_weighted_continuous,0.038715475033381,0.034620510552075455
activation,ipip_stems,final_token,5,exposure_quartile_1,8,28,row_weighted_continuous,-0.11056547554682554,-0.24466338259441706
activation,ipip_stems,final_token,5,exposure_quartile_1,8,28,unique_tuple_weighted_continuous,0.011767286787658343,-0.1395730706075534
activation,ipip_stems,final_token,5,exposure_quartile_2,8,28,row_weighted_continuous,0.09743907638787015,0.0021893814997263274
activation,ipip_stems,final_token,5,exposure_quartile_2,8,28,unique_tuple_weighted_continuous,0.036119974969094595,-0.030103995621236997
activation,ipip_stems,final_token,5,exposure_quartile_3,8,28,row_weighted_continuous,-0.20254470286400691,-0.18500273672687464
activation,ipip_stems,final_token,5,exposure_quartile_3,8,28,unique_tuple_weighted_continuous,-0.08159855163319243,-0.08866995073891626
activation,ipip_stems,final_token,5,exposure_quartile_4,8,28,row_weighted_continuous,0.322924203942072,0.17788724685276408
activation,ipip_stems,final_token,5,exposure_quartile_4,8,28,unique_tuple_weighted_continuous,0.17142253789737394,0.07608100711548987
activation,ipip_stems,final_token,5,pair_row_ratio_le_2_0,32,181,row_weighted_continuous,0.0597144731036102,0.03468318053953413
activation,ipip_stems,final_token,5,pair_row_ratio_le_2_0,32,181,unique_tuple_weighted_continuous,0.04634198812623571,0.007158035334830914
activation,ipip_stems,final_token,5,pair_row_ratio_le_1_5,32,117,row_weighted_continuous,0.007003413073446173,-0.014431506541383804
activation,ipip_stems,final_token,5,pair_row_ratio_le_1_5,32,117,unique_tuple_weighted_continuous,0.02385978879895387,-0.03448275862068965
activation,ipip_stems,final_token,6,all_32,32,496,row_weighted_continuous,0.10354096563777443,0.09828059264678983
activation,ipip_stems,final_token,6,all_32,32,496,unique_tuple_weighted_continuous,0.07714199523619569,0.07425786389893613
activation,ipip_stems,final_token,6,rows_ge_1000,30,435,row_weighted_continuous,0.09127350331587512,0.076090515601287
activation,ipip_stems,final_token,6,rows_ge_1000,30,435,unique_tuple_weighted_continuous,0.07161498743199664,0.06804429561315398
activation,ipip_stems,final_token,6,rows_ge_10000,30,435,row_weighted_continuous,0.09127350331587512,0.076090515601287
activation,ipip_stems,final_token,6,rows_ge_10000,30,435,unique_tuple_weighted_continuous,0.07161498743199664,0.06804429561315398
