representation,prompt_group,pooling_rule,layer,target_geometry,pearson_r,spearman_rho,mantel_permutations,mantel_two_sided_p,null_mean,null_sd,mantel_two_sided_q
activation,naturalistic_behavioral,mean_tokens,17,unique_tuple_weighted_continuous,0.017827922403433026,0.01706721266012497,1000,0.6233766233766234,0.001683860414862068,0.0364018233488202,0.6982228298017772
activation,naturalistic_behavioral,mean_tokens,17,binary_hamming,0.030359709821508048,0.03957153814024608,1000,0.02197802197802198,0.0001587137201295769,0.01346664732164181,0.07446285058225358
activation,naturalistic_behavioral,mean_tokens,18,row_weighted_continuous,0.059624797865432115,0.05889009521449321,1000,0.3126873126873127,0.0003273673313046197,0.059206807316302526,0.4711063273010176
activation,naturalistic_behavioral,mean_tokens,18,unique_tuple_weighted_continuous,0.01789049101830273,0.019397912401092773,1000,0.6043956043956044,-0.0002411042390525309,0.035235970776236955,0.684840076866655
activation,naturalistic_behavioral,mean_tokens,18,binary_hamming,0.03188399565019168,0.04218994805833685,1000,0.013986013986013986,-9.065429920825533e-05,0.013024541965456748,0.05262141173743384
activation,naturalistic_behavioral,mean_tokens,19,row_weighted_continuous,0.061032488764254766,0.06223342007076673,1000,0.2997002997002997,-0.002661982065162235,0.05878233028480153,0.4581123574412165
activation,naturalistic_behavioral,mean_tokens,19,unique_tuple_weighted_continuous,0.015686343947124586,0.017828082866701678,1000,0.6753246753246753,0.00011127790232275258,0.03607424162947232,0.7346583129330734
activation,naturalistic_behavioral,mean_tokens,19,binary_hamming,0.030652135186772317,0.04016231687801532,1000,0.011988011988011988,-0.0006589648390486671,0.01265824646894389,0.04718980441523794
activation,naturalistic_behavioral,mean_tokens,20,row_weighted_continuous,0.05866438438063478,0.061003066296114905,1000,0.33766233766233766,-0.0024215242317896634,0.05958551591826057,0.49239411552045387
activation,naturalistic_behavioral,mean_tokens,20,unique_tuple_weighted_continuous,0.016326696658528282,0.019413057032321,1000,0.6383616383616384,-0.0013143239213888507,0.03636013551854198,0.7091750011815265
activation,naturalistic_behavioral,mean_tokens,20,binary_hamming,0.033353847210785735,0.04422003399795659,1000,0.011988011988011988,-0.0003851676626646955,0.013312642573962209,0.04718980441523794
activation,naturalistic_behavioral,mean_tokens,21,row_weighted_continuous,0.06411499792915638,0.06863222344821618,1000,0.2997002997002997,0.000724755933498181,0.06295186269498705,0.4581123574412165
activation,naturalistic_behavioral,mean_tokens,21,unique_tuple_weighted_continuous,0.015314718358566048,0.02012957510458646,1000,0.6893106893106893,-0.00042715358909323854,0.036326423089337354,0.7462966286495698
activation,naturalistic_behavioral,mean_tokens,21,binary_hamming,0.03390748974696417,0.04688917560821037,1000,0.014985014985014986,-9.491658049197988e-05,0.013424757660803121,0.05546084350432177
activation,naturalistic_behavioral,mean_tokens,22,row_weighted_continuous,0.06411532223602336,0.07316469688118937,1000,0.2947052947052947,-0.0032302476332522973,0.05804800284467687,0.456123422032513
