representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,5,common_pc1_removed,3,0.15204209905095364
activation,ipip_stems,final_token,5,common_pc1_removed,4,0.07459648723226775
activation,ipip_stems,final_token,5,common_pc1_removed,5,0.013746155037512767
activation,ipip_stems,final_token,5,exposure_residualized,0,1.4239792469212034e-28
activation,ipip_stems,final_token,5,exposure_residualized,1,0.06150579324312243
activation,ipip_stems,final_token,5,exposure_residualized,2,0.13894164624108132
activation,ipip_stems,final_token,5,exposure_residualized,3,0.13785014076942717
activation,ipip_stems,final_token,5,exposure_residualized,4,0.0682236201259701
activation,ipip_stems,final_token,5,exposure_residualized,5,0.013668879906466917
activation,ipip_stems,final_token,5,profile_centered,0,0.0
activation,ipip_stems,final_token,5,profile_centered,1,0.11132575766719102
activation,ipip_stems,final_token,5,profile_centered,2,0.18468015784608155
activation,ipip_stems,final_token,5,profile_centered,3,0.16721765918843762
activation,ipip_stems,final_token,5,profile_centered,4,0.08106768125757455
activation,ipip_stems,final_token,5,profile_centered,5,0.013866800530268807
activation,ipip_stems,final_token,5,raw,0,2.0277053099364615
activation,ipip_stems,final_token,5,raw,1,0.11132575766719102
activation,ipip_stems,final_token,5,raw,2,0.18468015784608155
activation,ipip_stems,final_token,5,raw,3,0.16721765918843762
activation,ipip_stems,final_token,5,raw,4,0.08106768125757455
activation,ipip_stems,final_token,5,raw,5,0.013866800530268807
activation,ipip_stems,final_token,5,unit_norm,0,0.0012335532368328056
activation,ipip_stems,final_token,5,unit_norm,1,0.19149692580911823
activation,ipip_stems,final_token,5,unit_norm,2,0.32715602767458246
activation,ipip_stems,final_token,5,unit_norm,3,0.30332165483575435
activation,ipip_stems,final_token,5,unit_norm,4,0.1498836831973801
activation,ipip_stems,final_token,5,unit_norm,5,0.026908155246332128
activation,ipip_stems,final_token,6,common_pc1_removed,0,9.952270599577257e-33
activation,ipip_stems,final_token,6,common_pc1_removed,1,0.10464666177911286
activation,ipip_stems,final_token,6,common_pc1_removed,2,0.19966779966273518
activation,ipip_stems,final_token,6,common_pc1_removed,3,0.1966843924585292
activation,ipip_stems,final_token,6,common_pc1_removed,4,0.09853666358201991
activation,ipip_stems,final_token,6,common_pc1_removed,5,0.017880016490325022
activation,ipip_stems,final_token,6,exposure_residualized,0,1.9012630071102123e-28
activation,ipip_stems,final_token,6,exposure_residualized,1,0.08187282498087851
activation,ipip_stems,final_token,6,exposure_residualized,2,0.17803037005950717
activation,ipip_stems,final_token,6,exposure_residualized,3,0.18009960740747016
activation,ipip_stems,final_token,6,exposure_residualized,4,0.08783040907804392
activation,ipip_stems,final_token,6,exposure_residualized,5,0.017193182213666478
